year_month,month_start,revenue_existing,revenue_new,transactions,revenue_total,average_ticket,growth_mom
2019-01,2019-01-01,79741.75,0.0,5098,79741.75,15.641771282856022,0.0
2019-02,2019-02-01,92124.8,0.0,5843,92124.8,15.766695190826631,0.15528941865459434
2019-03,2019-03-01,90202.9,0.0,5750,90202.9,15.687460869565216,-0.02086191774636159
2019-04,2019-04-01,84201.45,0.0,5383,84201.45,15.642104774289429,-0.06653278331406198
2019-05,2019-05-01,80312.0,0.0,5143,80312.0,15.615788450320824,-0.04619219740277625
2019-06,2019-06-01,82397.5,0.0,5280,82397.5,15.605587121212121,0.025967476840322634
2019-07,2019-07-01,91169.5,0.0,5811,91169.5,15.689124075030115,0.10645954064140306
2019-08,2019-08-01,91606.35,0.0,5833,91606.35,15.704843133893366,0.004791624391929483
2019-09,2019-09-01,93057.45,0.0,5939,93057.45,15.668875231520458,0.015840604936229852
2019-10,2019-10-01,89249.45,0.0,5708,89249.45,15.635853188507358,-0.04092095796736317
2019-11,2019-11-01,85838.85,0.0,5480,85838.85,15.664023722627737,-0.03821424109616356
2019-12,2019-12-01,93670.15000000001,0.0,6000,93670.15000000001,15.611691666666669,0.0912325829155447
